Age,Gender,Annual_Income_USD,City_Type,Daily_Commute_km,Number_of_Cars_Owned,Current_Car_Type,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Home_Charging_Possible,Environmental_Concern_Level,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
56,1,44906.0,0,18.1,1,3,1,0,1,4.0,1,0,0
36,1,88754.0,0,5.0,1,1,2,3,1,1.0,1,0,0
42,1,155958.0,2,32.2,2,2,14,3,0,2.0,1,1,1
31,1,37059.0,0,89.9,1,2,2,1,1,4.0,0,0,0
48,0,48552.0,0,71.0,1,2,2,0,1,3.0,1,0,0
36,1,65370.0,2,75.7,2,1,6,8,1,5.0,1,0,0
34,0,128669.0,0,85.4,1,0,2,2,1,5.0,1,0,1
38,1,93811.0,2,12.0,3,0,14,10,0,2.0,1,0,0
65,0,104837.0,2,40.6,2,3,13,3,0,3.0,1,0,1
29,0,87121.0,1,42.9,2,1,5,2,1,5.0,0,0,0
65,2,88554.0,2,45.0,2,0,8,8,1,3.0,0,0,0
53,1,109461.0,1,49.5,2,2,5,6,1,1.0,0,0,0
25,1,83760.0,2,44.7,3,1,12,9,0,2.0,1,0,1
30,0,60341.0,2,30.6,2,0,7,4,0,5.0,1,0,0
37,1,85800.0,1,35.4,2,3,0,2,0,2.0,0,1,0
54,1,106008.0,0,22.9,1,2,1,1,1,5.0,1,0,0
65,0,98346.0,0,26.9,2,1,1,3,1,5.0,0,0,0
44,1,120226.0,2,49.1,3,0,2,19,0,4.0,1,1,0
33,1,75736.0,1,52.1,2,3,2,8,1,1.0,1,0,0
54,0,54729.0,1,67.6,1,1,1,9,1,1.0,1,0,0
59,1,56001.0,2,85.2,2,1,9,16,0,5.0,1,0,1
69,0,56342.0,2,95.0,2,2,9,19,1,1.0,1,0,0
33,0,79934.0,1,40.0,2,0,7,5,1,3.0,1,0,0
44,0,108205.0,2,81.3,1,2,13,19,1,2.0,0,0,0
35,0,112801.0,2,21.8,1,2,8,3,0,1.0,1,0,0
37,1,115169.0,1,27.0,1,1,5,1,0,3.0,1,1,0
56,1,77164.0,1,18.3,2,2,4,6,1,1.0,1,0,0
68,1,59698.0,1,56.0,1,2,0,3,1,4.0,0,0,0
48,1,151911.0,2,22.4,1,1,9,16,1,1.0,1,0,0
25,0,102879.0,2,50.7,3,2,2,8,1,1.0,0,0,0
66,1,59703.0,2,42.3,2,0,4,4,1,1.0,1,0,0
34,1,87624.0,2,16.7,2,2,8,12,0,3.0,1,0,1
33,1,90104.0,0,58.5,2,1,0,0,1,5.0,0,0,0
61,1,116015.0,2,5.0,2,1,2,10,0,3.0,1,0,0
44,0,128080.0,1,21.7,2,2,7,4,1,2.0,0,0,0
60,1,86877.0,2,33.1,4,1,6,12,0,4.0,0,1,0
53,0,105536.0,2,37.1,2,0,10,12,1,5.0,0,0,0
32,1,83198.0,1,45.1,1,1,6,9,1,2.0,0,0,0
35,0,137112.0,2,22.0,2,1,7,18,0,2.0,0,0,0
64,1,36128.0,2,64.7,1,0,12,14,1,3.0,1,0,0
63,1,88159.0,2,8.3,2,0,10,11,0,2.0,1,0,1
34,1,74022.0,1,11.9,2,0,5,4,1,3.0,0,0,0
43,1,86147.0,0,5.0,2,0,1,0,1,5.0,0,0,0
32,1,42679.0,2,19.4,1,1,9,8,0,1.0,1,0,0
64,1,45307.0,1,60.5,2,1,7,2,0,1.0,1,1,0
40,1,88503.0,2,5.0,1,1,11,8,0,2.0,1,0,0
69,1,45787.0,2,45.8,2,2,7,9,0,3.0,0,1,0
25,1,30000.0,1,59.2,1,1,0,1,1,5.0,1,0,0
67,1,54878.0,2,38.9,2,2,9,9,1,3.0,1,0,0
37,1,51068.0,1,42.1,2,1,6,6,1,3.0,0,0,0
42,1,124042.0,1,46.7,2,0,2,3,1,5.0,1,0,1
36,1,54580.0,1,60.5,1,1,2,9,1,4.0,0,0,0
40,1,39063.0,2,5.0,2,2,14,7,1,3.0,1,0,0
58,1,68155.0,1,24.4,2,2,1,4,0,2.0,1,1,0
54,0,30000.0,2,35.3,2,2,2,8,1,3.0,0,0,0
49,0,47733.0,2,50.1,1,3,2,6,1,2.0,1,0,0
61,0,56454.0,2,78.9,1,0,9,18,0,1.0,1,0,0
