Age,Gender,Annual_Income_USD,City_Type,Daily_Commute_km,Number_of_Cars_Owned,Current_Car_Type,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Home_Charging_Possible,Environmental_Concern_Level,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
56,Male,44906.0,Rural,18.1,1,Truck,1,0,Yes,4.0,Yes,Low,No
36,Male,88754.0,Rural,5.0,1,SUV,2,3,Yes,1.0,Yes,Low,No
42,Male,155958.0,Urban,32.2,2,Sedan,14,3,No,2.0,Yes,Medium,Yes
31,Male,37059.0,Rural,89.9,1,Sedan,2,1,Yes,4.0,No,Low,No
48,Female,48552.0,Rural,71.0,1,Sedan,2,0,Yes,3.0,Yes,Low,No
36,Male,65370.0,Urban,75.7,2,SUV,6,8,Yes,5.0,Yes,Low,No
34,Female,128669.0,Rural,85.4,1,Hatchback,2,2,Yes,5.0,Yes,Low,Yes
38,Male,93811.0,Urban,12.0,3,Hatchback,14,10,No,2.0,Yes,Low,No
65,Female,104837.0,Urban,40.6,2,Truck,13,3,No,3.0,Yes,Low,Yes
29,Female,87121.0,Suburban,42.9,2,SUV,5,2,Yes,5.0,No,Low,No
65,Other,88554.0,Urban,45.0,2,Hatchback,8,8,Yes,3.0,No,Low,No
53,Male,109461.0,Suburban,49.5,2,Sedan,5,6,Yes,1.0,No,Low,No
25,Male,83760.0,Urban,44.7,3,SUV,12,9,No,2.0,Yes,Low,Yes
30,Female,60341.0,Urban,30.6,2,Hatchback,7,4,No,5.0,Yes,Low,No
37,Male,85800.0,Suburban,35.4,2,Truck,0,2,No,2.0,No,Medium,No
54,Male,106008.0,Rural,22.9,1,Sedan,1,1,Yes,5.0,Yes,Low,No
65,Female,98346.0,Rural,26.9,2,SUV,1,3,Yes,5.0,No,Low,No
44,Male,120226.0,Urban,49.1,3,Hatchback,2,19,No,4.0,Yes,Medium,No
33,Male,75736.0,Suburban,52.1,2,Truck,2,8,Yes,1.0,Yes,Low,No
54,Female,54729.0,Suburban,67.6,1,SUV,1,9,Yes,1.0,Yes,Low,No
59,Male,56001.0,Urban,85.2,2,SUV,9,16,No,5.0,Yes,Low,Yes
69,Female,56342.0,Urban,95.0,2,Sedan,9,19,Yes,1.0,Yes,Low,No
33,Female,79934.0,Suburban,40.0,2,Hatchback,7,5,Yes,3.0,Yes,Low,No
44,Female,108205.0,Urban,81.3,1,Sedan,13,19,Yes,2.0,No,Low,No
35,Female,112801.0,Urban,21.8,1,Sedan,8,3,No,1.0,Yes,Low,No
37,Male,115169.0,Suburban,27.0,1,SUV,5,1,No,3.0,Yes,Medium,No
56,Male,77164.0,Suburban,18.3,2,Sedan,4,6,Yes,1.0,Yes,Low,No
68,Male,59698.0,Suburban,56.0,1,Sedan,0,3,Yes,4.0,No,Low,No
48,Male,151911.0,Urban,22.4,1,SUV,9,16,Yes,1.0,Yes,Low,No
25,Female,102879.0,Urban,50.7,3,Sedan,2,8,Yes,1.0,No,Low,No
66,Male,59703.0,Urban,42.3,2,Hatchback,4,4,Yes,1.0,Yes,Low,No
34,Male,87624.0,Urban,16.7,2,Sedan,8,12,No,3.0,Yes,Low,Yes
33,Male,90104.0,Rural,58.5,2,SUV,0,0,Yes,5.0,No,Low,No
61,Male,116015.0,Urban,5.0,2,SUV,2,10,No,3.0,Yes,Low,No
44,Female,128080.0,Suburban,21.7,2,Sedan,7,4,Yes,2.0,No,Low,No
60,Male,86877.0,Urban,33.1,4,SUV,6,12,No,4.0,No,Medium,No
53,Female,105536.0,Urban,37.1,2,Hatchback,10,12,Yes,5.0,No,Low,No
32,Male,83198.0,Suburban,45.1,1,SUV,6,9,Yes,2.0,No,Low,No
35,Female,137112.0,Urban,22.0,2,SUV,7,18,No,2.0,No,Low,No
64,Male,36128.0,Urban,64.7,1,Hatchback,12,14,Yes,3.0,Yes,Low,No
63,Male,88159.0,Urban,8.3,2,Hatchback,10,11,No,2.0,Yes,Low,Yes
34,Male,74022.0,Suburban,11.9,2,Hatchback,5,4,Yes,3.0,No,Low,No
43,Male,86147.0,Rural,5.0,2,Hatchback,1,0,Yes,5.0,No,Low,No
32,Male,42679.0,Urban,19.4,1,SUV,9,8,No,1.0,Yes,Low,No
64,Male,45307.0,Suburban,60.5,2,SUV,7,2,No,1.0,Yes,Medium,No
40,Male,88503.0,Urban,5.0,1,SUV,11,8,No,2.0,Yes,Low,No
69,Male,45787.0,Urban,45.8,2,Sedan,7,9,No,3.0,No,Medium,No
25,Male,30000.0,Suburban,59.2,1,SUV,0,1,Yes,5.0,Yes,Low,No
67,Male,54878.0,Urban,38.9,2,Sedan,9,9,Yes,3.0,Yes,Low,No
37,Male,51068.0,Suburban,42.1,2,SUV,6,6,Yes,3.0,No,Low,No
42,Male,124042.0,Suburban,46.7,2,Hatchback,2,3,Yes,5.0,Yes,Low,Yes
36,Male,54580.0,Suburban,60.5,1,SUV,2,9,Yes,4.0,No,Low,No
40,Male,39063.0,Urban,5.0,2,Sedan,14,7,Yes,3.0,Yes,Low,No
58,Male,68155.0,Suburban,24.4,2,Sedan,1,4,No,2.0,Yes,Medium,No
54,Female,30000.0,Urban,35.3,2,Sedan,2,8,Yes,3.0,No,Low,No
49,Female,47733.0,Urban,50.1,1,Truck,2,6,Yes,2.0,Yes,Low,No
61,Female,56454.0,Urban,78.9,1,Hatchback,9,18,No,1.0,Yes,Low,No
44,Other,118688.0,Urban,81.1,1,Sedan,13,9,Yes,2.0,Yes,Low,No
60,Male,84287.0,Rural,32.9,2,Hatchback,0,0,Yes,5.0,Yes,Low,Yes
55,Female,101814.0,Urban,5.0,2,Sedan,8,8,No,2.0,Yes,Medium,No
35,Male,116042.0,Suburban,58.9,1,SUV,2,6,Yes,2.0,No,Low,No
64,Female,63647.0,Urban,40.6,1,Sedan,14,9,No,1.0,No,Low,No
45,Male,92502.0,Urban,49.3,1,Sedan,13,19,No,5.0,Yes,Low,No
52,Male,99320.0,Suburban,36.6,2,SUV,3,9,No,1.0,No,Low,No
33,Male,34931.0,Urban,51.8,1,Hatchback,2,13,No,3.0,Yes,Medium,No
47,Male,41847.0,Urban,49.4,3,Hatchback,7,9,Yes,5.0,Yes,Low,No
51,Female,91292.0,Urban,71.4,2,Sedan,6,5,No,1.0,Yes,Low,No
48,Male,63912.0,Urban,29.2,1,Hatchback,5,16,No,2.0,Yes,Low,No
62,Female,46223.0,Suburban,44.3,2,Sedan,3,7,Yes,3.0,No,Low,No
47,Female,102868.0,Suburban,52.2,1,Sedan,7,2,Yes,4.0,Yes,Low,Yes
34,Female,84287.0,Suburban,69.6,2,SUV,4,2,Yes,3.0,Yes,Low,Yes
27,Female,77759.0,Rural,13.0,2,Hatchback,1,1,Yes,5.0,Yes,Low,Yes
43,Female,137568.0,Rural,15.2,1,Sedan,0,1,Yes,2.0,No,Low,No
53,Female,68713.0,Urban,50.9,2,Sedan,10,11,Yes,4.0,Yes,Low,Yes
36,Female,97685.0,Urban,26.4,1,Sedan,6,4,Yes,3.0,No,Low,No
35,Female,52349.0,Suburban,74.5,1,Hatchback,6,5,No,4.0,No,Medium,No
55,Male,90350.0,Suburban,64.2,2,SUV,0,5,No,4.0,Yes,High,No
60,Male,71949.0,Suburban,25.1,1,SUV,5,4,Yes,1.0,No,Low,No
53,Male,143044.0,Urban,27.3,2,Sedan,5,13,Yes,4.0,Yes,Low,Yes
28,Male,75226.0,Suburban,69.5,2,SUV,7,6,No,4.0,Yes,Medium,No
44,Male,30000.0,Urban,36.2,1,SUV,13,16,Yes,3.0,Yes,Low,No
45,Female,81991.0,Urban,19.5,2,SUV,3,9,No,3.0,No,Medium,No
39,Male,30000.0,Urban,31.0,1,SUV,13,15,No,3.0,Yes,Medium,No
30,Female,30000.0,Urban,26.4,3,SUV,9,8,Yes,1.0,No,Low,No
30,Female,88411.0,Rural,41.5,3,Sedan,0,3,Yes,4.0,Yes,Low,No
31,Female,82374.0,Urban,81.2,2,Sedan,8,14,No,3.0,No,Low,No
49,Male,135989.0,Suburban,5.0,2,Truck,3,2,No,3.0,Yes,Low,Yes
64,Male,80731.0,Urban,72.7,1,SUV,9,10,Yes,1.0,No,Low,No
62,Female,30000.0,Suburban,43.9,2,Sedan,5,9,Yes,3.0,Yes,Low,No
32,Male,119804.0,Suburban,80.9,2,Hatchback,6,7,Yes,4.0,Yes,Low,Yes
62,Female,147235.0,Urban,43.2,1,Sedan,11,16,Yes,1.0,Yes,Low,No
29,Male,95129.0,Suburban,5.0,2,Hatchback,1,9,Yes,1.0,Yes,Low,No
48,Female,161488.0,Urban,33.4,3,Sedan,13,14,No,2.0,No,Low,No
60,Male,72262.0,Urban,40.9,2,SUV,8,11,No,1.0,Yes,Medium,No
40,Female,68909.0,Urban,44.3,2,Sedan,11,4,No,4.0,Yes,Low,Yes
59,Male,73458.0,Suburban,28.2,1,Hatchback,3,5,Yes,2.0,Yes,Low,No
28,Male,96810.0,Urban,40.6,2,Sedan,5,12,Yes,1.0,No,Low,No
43,Male,109349.0,Suburban,5.0,2,Hatchback,5,1,Yes,3.0,Yes,Low,No
38,Female,98035.0,Urban,78.0,2,Sedan,7,5,No,1.0,No,Medium,No
28,Male,57048.0,Suburban,42.6,2,Sedan,0,5,Yes,2.0,Yes,Low,No
62,Male,73961.0,Rural,44.2,1,Sedan,0,3,Yes,1.0,Yes,Low,No
54,Male,66570.0,Suburban,50.6,1,SUV,7,6,Yes,1.0,Yes,Low,No
47,Female,78293.0,Urban,39.3,1,Truck,10,8,No,4.0,Yes,High,No
46,Male,114842.0,Urban,30.0,1,SUV,2,3,No,4.0,No,Low,Yes
